Author,Date,Region,Sentence,mbart_translation,nllb_translation
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nephew of Ortensio, ha fatto la vita più bassa e più visiva.","Corbio , nipote di Ortensia , condusse la sua vita più bassa e più viziosa ."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Allora, un amante che chiama la sua donna dice molte parole e ragioni, e lei si difende in quello che dice.","Altro amante chiama Merzé alla sua donna dice parole e ragioni molte, ed ella si difende nel suo dire."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Io ricordo che, being adirato, mi scappò la donna. Oh, come mi ha tolto la rabbina!",Io ricordo (c. 347) che essendo arrabbiato ho scapolato la mia donna.
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,Quello che dovere fare era l'amore della tua donna.,"di colui di cui tu sentivi le pene , che era amante della tua donna;"
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non c'è il numero delle sue congiurati, perché la donna non li ha già nominati.","Ma non conoscono già i nomi di coloro che hanno complottato, perché la donna non li aveva già nominati."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Crete? Certo, quando lui si muove, lui ti dice: ""O fedele mia donna, fate in mio posto il nostro hoste troiano.""","Quando si muovono, ti dice: ""O mia fedele donna, lascia che ti sia raccomandata la nostra ostia trojana""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","In Milano, la malvagia di una donna simile, all'epoca di questo signore della Repubblica, è stata repressa in questo modo.","A Milano è stata ripresa la malvagità di una donna in una bugia simile, al tempo stesso di questo signore della repubblica, in questo modo:"
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E lamentavano l'inquità di Appio, e ricordavano la malventura della pulcella e la necessità del padre.","E si lamentavano dell'iniquità di Appio, e riempivano l'infortunata bellezza della pulce e la necessità del padre."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quale battaglia, certo, io ho sempre pensato di pace, e mi sono sempre fatto che non solo la pace era schiacciata.","In quella battaglia, certo, ho sempre avuto il coraggio di ragionare di pace e mi sono sempre ricordato che non solo la pace era una schifezza,"
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","Il secondo suole non è per la grande abilità di far ridere, e il primo suole per la grande abilità di far ridere.","il secondo talvolta per la grande provvidenza fa paura, e il primo per l'audacia rende gli altri pazzi."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,"E' andato a campo di Cartagena, e' andato a campo di Cartagena, e' andato a campo di Cartagena, e' andato a campo di Cartagena, e' andato a campo di Cartagena.",Andò nel campo dei Cartaginesi e tutta la legione si trascinò a secco.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",Non voleva sapere per niente. Questa è la persona che ha chiesto al profeta Natan di riprendere con grande autorità il re che aveva peccato.,Non volle conoscerlo come nemico. Questa è quella che diede audacia al profeta Natan per riprendere con grande autorità quel re che aveva peccato.
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","l'armi e con loro passavano tra i nullai, quindi se non c'era un'armi e non c'era un'armi, loro passavano tra i nullai, quindi se non c'era un'armi e non c'era un'armi.","Le armi e insieme con loro passavano tra i nemici, quindi se nessuno avesse avuto coraggio di questo e sì avessero questo animo."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,E none deluso di Iob.,Dove ragionevolmente Giobbe è interpretato male;
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Quello che perdono per i cittadini, e che most di sicuro voi possiate credere; e poi lui fu il vostro capo.","Colui che, più di tutti, perdonava ai cittadini, e in cui voi potete certamente credere, visto che era il vostro capo."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","In vano si chiede chi abbia scritto questo libro, con il quale crediamo che l'autore di questo abbia fusto il Santo Spirit.","Invano si chiede chi ha scritto questo Libro, con ciò che è cosa che fedelmente si deve credere che l'Autore di quello sia stato lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non'era molto usata, questo sarebbe certamente molto più incredibile: Certamente più efficace di credere in quello, posto che l'uomo spirite al divino, e il mutabile al incommutatbile.","Se non fosse usata, questo sembrerebbe certamente molto più incredibile: certamente più facilmente si può credere a questo, posto che lo spirito umano al divino, e il mutabile all'immutabile"
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,"che pagavano il camarlingo per la loro dispensazione, e continuamente andavano alla presenza del papato per contraddire il passaggio dei cavalieri che venivano da Cecilia in Toscana.",che prendessero il salario dal camarlingo per la loro dispensa e immanente andassero alla presenza del signor papa per contraddire il passaggio di cavalieri che venivano da Cecilia in Toscana
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Achelao con grande splendor, e disse, ""O Messiah Achelao, please tell me how you've perso.","Disse: ""O signore Achelao, ti prego, dimmi come hai perso"
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Io spero, in Messier Iesù, di mandare un tosto a Timoteo, perche' io abbia un buon umore.","Spero, se il Signore Gesù vuole, di mandare presto da voi Timoteo, per essere d'accordo con voi, quando avrò notizie di me."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"sanza fa il sacco, e l'uomo fa sentire, e l'uomo fa vedere.",Il maiale selvaggio avanza l'uomo di udire e il lupo cervicale di vedere
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,Un posto dove. Un posto dove dove. Un posto dove dove. Un posto dove dove. Un posto dove dove. Un posto dove dove.,"Un posto dove si lanciano lance , che i cavalieri chiamano testa di maiale ."
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Tende le reti e sa bene quali vallei scorrono.,tende le reti ai cervi e sa bene in quale valle abita il feroce porco selvaggio.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora vi spaventate di fronte a diverse predizioni, o lo sto scacchiando in terra con il collo stretto.","Ora li spaventare cervi spaventosi con varie e diverse paure, o il maiale cacca cacca a terra passato collo spiedo."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","tratta la natura delle cose incorporate che non parlano nei loro corpi, proprio come Dio e le cose divine.","tratta della natura delle cose corporali che non parlano tra loro, come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per cui dispensano e judicano tutto.","Dio, per il quale tutte le cose sono disordinate e giudicate."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Quando i poeti, parlando di lei, parlando di virtue, parlando di difetto, quando i poeti, parlando di lei, parlando di virtue, parlando di difetto, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei, parlando di lei,","Quando i poeti, parlando di loro, dicono le loro virtù e dicono favolosamente i loro difetti, quando qualcuno passava l'ordine al loro deputato"
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","E quella, che è diritta et onesta, e con virtue, quella, che io penso sia il bene.","E quella cosa, che è diretta e onesta, e con virtù, quella sola penso sia il bene."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti invecchiano, non c'è Romano, then c'è la meraviglia di vedere i Psilli combattersi il veleno, che impugnano tutto il loro salive.","Quando i serpenti venivano avvelenati di giorno da un romano, allora era una meraviglia vedere come i Psille si combattevano al veleno, perché essi imolavano tutto inazzio della loro saliva"
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","La poetessa dice, ""Oh, che bella cosa è vedere con gli occhi aperti quando lo fai in faccia o in colpo o in altro.""","Dice il poeta: oh, che bello è vedere apertamente con gli occhi quando la fai girare o in culo o in altro"
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma nonetheless, it's your fault, che cercate di vedere l'invisibile con i vostri occhi.","Ma questo è stato tuo errore, anche se hai cercato di vedere con gli occhi fisici l'invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non ti risponde in questo tempo, perché ttu è il mio servo, o perché è il mio tempo, o perché non devo rispondere.","E' vero, ma non ti rispondo in questo momento, perché tu sei il mio servo, o perché è un tempo di ferita, o perché io non devo risponderti"
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,E' un po' che dia loro il grande per farli andare via.,"Sì, è giusto che gli dia un sacco di soldi per lasciarlo andare."
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Un'esempio notevole per chi guardava di fare e di pensare tradigione, il servitore, che accusava, fu francato, e fuggito, donate un'esempio notevole di moneta.","E' stato dato un esempio per tutti, per chiunque avesse guardato e pensato a tradire, il servo che l'aveva accusato, fu liberato, e fuggì donandogli una grande quantità di denaro."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,Che cosa sarebbe successo a lui se avesse fatto in modo che la colpa del servitore e la gratificazione di Platone avesse meritato in modo equo.,"che sarebbe una cosa disgustosa se lo avesse commesso, così che la colpa del servo e la punizione di Platone avessero meritato altrettanto."
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","mostre le sue forze, dandogli il potere di questa città in cui sono nato, in cui sono nato, in cui sono nato, in cui sono nato per molto tempo.","Mostrando la sua forza, lo ha messo re in questa città in cui è nato un servo, a cui è successo molto a lungo mantenere il regno"
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima muta la forza per la propietazione del corpo con cui si unisce.,L'anima cambia la sua forza per le proprietà del corpo a cui si unisce.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Ci sono due, non in un corpo, ma in un spirito, ossia l'Idio, e l'anima. E' un altro punto in cui dice S. Paolo: Chi si avvicina a Dio è un spirito.","Non sono due in una sola carne, ma in uno spirito, cioè Dio e l'anima."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Per quanto Lucano l'ha detto, l'abbiamo raccontato a voi. A voi, quando l'anima di Pompeo ebbe sentito la clarità di lassù, lei sì cognobe prima in grande.","E quando l'anima di Pompeo sentì la chiarezza di Lasso, si accorse prima di grande"
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Perché il dolore è ascoltato, quando si usa l'arma e la difficoltà si rispondono, con grande disonore come le pecore siano.","Così dolore è a sentire, quando l'uso di armi e fatica rifiutare, con grande disonore come pecore essere"
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,"E nonn had Christ in fasti, words da ascoltare.",E Cristo non si offese di sentire queste parole.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La grandezza che hai visto e che riguarda lo studio, e che, poco fa, hai sentito le voci, e che, poco fa, hai sentito le voci, e che, poco fa, hai sentito le voci.","La moltitudine di quelli che tu hai potuto vedere e guardare lo studio e poco prima sentire le voci, e le cui mani e lance posso solo ritrarre."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Udire belle fiori, e udire belle fiori, e udire belle fiori, e udire belle fiori, e udire belle fiori, e udire belle fiori, e udire belle fiori.","Sentire la bella notizia e odorare i bei fiori, come e quando e quanto conviene"
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro al suo hotel, quasi mentre pensava alla risposta.","Il re entrò in un giardino dietro il suo albergo, quasi come se stesse andando a pensare alla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo",Ma io gioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioio,"Ma io, desideroso di andare dove non posso con il corpo, volare con la mente."
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,"All'improvviso, all'incertezza degli uccelli si alza dietro l'aquila.",E subito tutta questa folla di uccelli volò dietro all'aquila
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,"Vede anche le ragioni per cui gli uccelli volano, e tutte le cose per cui gli uccelli volano, e vede anche le ragioni per cui gli uccelli volano, e tutte le cose per cui gli uccelli volano, e vede tutte le cose per cui gli uccelli volano, e vede tutte le cose per cui gli uccelli volano, e vede tutte le cose per cui gli uccelli volano, e vede tutte le cose per cui gli uccelli volano, e vede tutte le cose per cui gli uccelli volano, e vede tutte le cose per cui gli uccelli volano, e vede tutte le cose per cui gli uccelli volano.",Egli vede anche le ragioni del volo degli uccelli e di tutte le cose sa rendere vero giudizio.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,"E' questo che per la sua superba, questo uccello vola in alto.","Ecco come, per la sua superbia, questo uccello volava in alto."
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Sono gorgo, e ho la proprietà di volare per l'aria come un uccello.""","Gorgone, e ho questa proprietà che volo per aria sì come un uccello""."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","quando si scritte per Dio, per Cristo, per il Santo Spirit.","Quando nella matricola si scrive giurano per Dio, e per Cristo, e per lo Spirito Santo"
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","per il ridicolo che, secondo il tuo comandamento, Padre Sant'Agostino, le battaglie sono già nel mondo [...]","Per necessità, io dico che, secondo il tuo comandamento, Padre Sant'Agostino, le battaglie sono già state nel mondo."
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Molte più memoriale li fareranno al re, perché nella nostra città era sempre sacro e glorioso il nome reale, e se erano compagni era il nome molto sacro.","Molto più ricorderà di loro il re, perché nella nostra città il nome reale era sempre santo e glorioso, e questi erano compagni del loro nome più santo."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio che tubbi per la sacredità, che tubbi per la vergine, che tubbi per la vergine, che tubbi per la vergine.","Non voglio che insuperbischi per il santo proposito, e voto della verginità vedendo le sue lodi"
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Sant'Agostino wrote a book called ""Agostino della Città di Dio.""","Sant'Agostino scrisse un libro che si chiamava ""Agostino della Città di Dio""."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,"Gregorio. Non avrete mai un maestro, ma il dono del Santo Spirit non si può stringere.",Non ho mai sentito che avesse un maestro; ma il dono dello Spirito Santo non può essere legato alla legge.
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Verbose: Merchant fiorecchini che andavano in nave a galleggiare.,Verbigrazia: Mercanti fiorentini passavano in nave per andare oltreoceano.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando si trovate in un'esercito, i segni non vanno in grandezza, perché in combattimento i forti sono più utili.","Quando avrai nel cavaliere i segni che hai visto, non andare in grandezza cadendo, perché nelle battaglie sono più utili i forti che i grandi."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","E, cosa ancora più grave, di essere catturato, o realmente fuggito, e lasciare che il suo Comune vinca.","e, cosa anche più grave, cioè essere preso, o vero fuggire, e la sua comune lasciare vincere."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sapete, se non' fossimo affetti da fuggire, saremmo tutti morti.","Sappiate bene che se non avessimo avuto fretta di fuggire, saremmo stati tutti uccisi."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarco credeva che per aiutare i nipoti poteva fuggire, ma la vergogna di abbandonare i nobili cavalieri della gente lo faceva un po' di più.","Tarco di Creta che aiutava i nemici poteva fuggire, ma la vergogna di abbandonare i nobili cavalieri del popolo Acae'e'o poco prima di lui"
