Author,Date,Region,Sentence,llama_translation
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","quello che sopra tutti gli altri perdonasse ai cittadini, e a cui più sicuramente possiate credere; poi che egli fu vostro comandatore."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","in vano si chiede chi ha scritto questo libro, con ciò essere cosa che fedelmente si deve credere che l'autore di quello sia lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","se non fosse troppo uso, quest'evento sembra incredibilmente più facile da credere: certamente più agevolmente si può supporre che ciò, considerando che l'umano spirito è incline al divino e il mutabile al fissa."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,che prendevano la paga dal camarlingo per loro dispensa e immediate andavano alla presenza di monsignorlo papa per contrastare il passamento dei cavalieri che venivano da Cecina in Toscana.
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Acheloo con sorpresa e disse: ""Oh, signor Acheloo, please tell me how you lost""."
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Io spero in messer Jesus di mandare presto a te Timoteo, in modo che io sia di buon umore"
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,Senza fallo l'uomo avanza nel comprendere e 'l lupo cerviere del vedere.
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,un luogo si mandano lanzi; la quale cosa i cavalieri l'appellano capo di porco
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,tenda le reti a le cerbi e sa bene in quali valle dimori il furioso porco cinghiare.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventerai gli disideri di molti con diverse paure, o il porco cenghiare collo spiedo in terra passata."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","tratta le cose immateriali, che non si possono trovare dentro i corpi, come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, che dispensa e giudica tutte le cose."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Dove gli poeti, parlando dei loro, dicono le virtù loro e dicono fantasticamente i loro difetti, quando alcuno passava l'ordine a loro deputato."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","e quella cosa, che è diretta e onesta, e virtuosa, solo questa penso essere il bene."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti invellivano di giorno alcuno romano, allora iera la maraviglia a vedere come i psilli si combattevano al veleno, ché essi imolavano tutta la loro saliva."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Oh, che bella cosa è vedere con gli occhi aperti quando tu fai diretro o in culo o in altro."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","ma pure questo fu colpa tua, però che volesti vedere con gli occhi della mente la cosa invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","Vero è, ma non rispondo adesso, perchè tu sei mio servo o perchè è ferie o perchè non debbo risponderti."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,sì conviene che gli dèi gli dessero grande avere perché lasciasse andare via.
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","notabile esempio a ciascuno che si guardasse di fare e di pensare tradimento, il servo, il quale gli avea accusati, fu assolto, e gli fu data una grande quantità di denaro."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"che sarebbe stato a lui cosa squallida se l'avesse commesso lui, e il castigo di Platone avrebbe meritato egualmente."
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","mostrò massimamente le forze sue, dando re a questa città nella quale nacque servus; al quale avvenne lunghissimamente l'impero tenere"
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,l'anima muta la sua forza per la proprietà di quel corpo a cui si congiunge.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono due non in una carne, ma in uno spirito, cioè Dio, e l'anima. Onde in altro luogo dice San Paolo: Chi si avvicina a Dio è uno spirito."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebbe sentito la chiarità del lasciare, ella si cognobbe prima in grande

In italiano arcaico:

* per tanto che Lucano il disse, il vi racontiamo - per tanto che Lucano disse, raccontiamo
* ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso - ivi, quando l'anima di Pompeo ebbe sentito la chiarità del lasciare

In italiano moderno:

* per tanto che Lucano disse, raccontiamo - per tanto che ha detto, raccontiamo
* ivi, quando l'anima di Pompeo ebbe sentito la chiarità del lasciare - ivi, quando l'anima di Pompeo ebbe sentito la chiarità del lascio"
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Sicchè dolore è a udire, quando l'uso dell'arma e la fatica rifiutano, con grandissimo disonore come pecore essere."
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,e non ne ebbe in fastidio Cristo cotali parole d'udire.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","la moltitudine di quelli che tu hai potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e le mani e le lance che penso di poter ritenere."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","udire di belle novelle et odorare di belli fiori, come e quando et quanto si conviene

In italiano arcaico, la forma ""udire"" è ""udire"", ""odorare"" è ""odorare"", ""belle novelle"" è ""novelle"", ""belli fiori"" è ""fiori"", ""come"" è ""come"", ""when"" è ""when"", ""et"" è ""et"", ""quantunque"" è ""quantunque"".

In italiano moderno, la forma ""udire"" è ""ascoltare"", ""odorare"" è ""odorare"", ""novelle"" è ""storie"", ""fiori"" è ""fiori"", ""come"" è ""come"", ""when"" è ""when"", ""et"" è ""et"", ""quantunque"" è ""quantunque""."
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò nel giardino dietro al suo albergo, quasi come se stesse pensando alla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io desiderio lì dove io non posso andare con il corpo, con la mente vi volo

In italiano arcaico, la frase è tratta dal medioevo e presenta alcune caratteristiche linguistiche che non sono più in uso o sono cambiate nel linguaggio moderno. In particolare, la forma verbale ""disioso"" è un'antica forma arcaica di ""desiderio"", mentre ""colà"" è un'antica forma arcaica di ""colà"". Infine, la forma verbale ""vi volo"" è un'antica forma arcaica di ""vo"" che si usava per indicare il futuro."
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,Ecco subito tutta questa turba degli uccelli si levò a volo dietro all'albero.
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Vede anche le ragioni del volo degli uccelli e di tutte le cose sa render vero giudizio.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,Ecco come l'uccello volava per la sua superbia in alto.
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone, e ho questa proprietà che volo per l'aria come un uccello."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","quando si scrive giurano per Dio, e per Cristo, e per lo Spirito Santo."
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","per necessità rideco che, secondo il tuo comandamento, padre santo Agostino, le battaglie già combattute nel mondo [..]"
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","molto di maggiore memoria saranno faccendole al re, perciò che nella nostra città sempre fu santo e glorioso il nome reale, e sse furono compagni furono il loro nome santissimo."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio, che insulti per lo santo proposito e voti della verginità vedendo le sue lodi."
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Santo Agostino scrisse un libro che ebbe nome ""De Civitate Dei""."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio non ho mai sentito che egli avesse un maestro; ma il dono dello Spirito Santo non può essere vincolato da regole.
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Mercanti fiorentini passavano in nave per andare all'estero.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai nel cavaliere i segni visibili non andare a grandezza cadendo, perchè i forti sono più utili delle grandi battaglie."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","e, cosa che è ancora più grave, cioè essere preso o fuggire, e lasciare vincere il suo Comune."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Se noi non avessimo fuggiuto in fretta, noi saremmo tutti morti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarko cretense che in aiuto era ai nemici avrebbe potuto fuggire, ma la vergogna di abbandonare i nobili cavalieri della gente achaea poco avanti da lui."
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e l'acconciamento a fare grandissime cose, cioè a tenere pace e amare Dio e il prossimo, a fare città, castelli e magioni."
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,colui che ancora non sa amare il prossimo come sé medesimo già comincia a temere i giudizi di Dio.
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, poi che ha impegnate le ali, non fugge salvamente, né lo porco salvatico esce bene dalle reti ove cade."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io gli aprono, e quelli fuggono. E che bisogno c'è che il mio cuore stia chiuso al mio marito Cristiano?"
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","E dunque, da che queste cose sono così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu di andartene in alcuna terra e usare questa vita fuggendo per i deserti."
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo contro la voglia del Senato dimorare nell'ufficio del Tribunato, furono morti dalla plebe, incitandola i padri coscritti."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","i giovani, ai quali il difendere delle province e la fortuna di tutta la battaglia sono commessi."
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Da monti Romani si fecero nuovi nemici; contro i quali è combinato con diversa ventura: per cui nella prima battaglia, essendo console Valerio, MMMD ne morirono dei Romani."
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","noi uscimmo e partimmo per debito della città, e tutti uscimmo da fama e da buona ventura."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,pregate gli dei per me; e i vostri pregiati valsero: e se voi chiedete chi ebbe ventura di questa battaglia; io non sono stato sconfitto da lui.
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","una villa chiamata Villa Termini, con ciò che i principi di Schönborn corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per sforzarlo, allogò nella casa."
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,Contro di lui e contro le sue sorelle e contro il regno e contro l'alto pregio della sua ingenuità e della sua famiglia.
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Allora che il naviglio si fe' impinto e messo in alto mare per andare diritto per mezzo questo trapasso periglioso, l'aria divenne nuvolosa e piovose."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Salii in su l'argine del fiume e in su lo steccato, se da alto si potessero difendere o passare oltre e scampare."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio della intelligenza è più alto. Perciò che, passata la grandezza della università, quella medesima semplice forma vede nella sottile visione."
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se la mano è nobile membro del corpo dell'uomo, dunque la salutazione è nobile parte della pistola, illumina tutta la lettera come la mano illumina l'uomo."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","Taranto, i quali erano nati da quelli di Lacedemonia e fatti da loro nobile città dei Greci."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Un uomo ricco e nobile: Organtore fu chiamato per nome.
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","però che, nobile cosa e alta è abattere il nemico, ammesso che non è meno laudabile avere misericordia."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, questo è il genero e il figliuolo, da Phausonia, gentile giovane di Macedonia, stando in un luogo stretto senza guardia, fu morto."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alcuno è ricco e gentile, ma lamenta di voler avere un'altra moglie oltre quella che ha."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, being shown in figure the Gentile people, was told: kill and eat."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","l'ha liberato da quell'obbligazione, in cui l'aveva left indebted. The kind man agreed, and freed him, and made him a note."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dall'Aquilone. Che facciamo noi per l'Aquilone, se non il popolo Gentile congelato dal freddo del peccato, il quale popolo tenne sotto il giogo della sua tirannia."
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Tra me e te non posso più durare, non sopporto più il tuo stare qui."
