Author,Date,Region,Sentence,gemma_translation
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Per tanto che Lucano il disse, vi raccontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasso, ella sì cognobe prima in grande."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Se il dolore è a udire, quando si usa l'arma e si ricusano, con grandissimo disonore come pecore essere."
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,"""Nonne aveva avuto in fastido Cristo cotali parole d'udire""."
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La moltitudine di cose che tu hai potuto vedere e riguardare lo studio era poco dinanzi, e le sue voci erano poco pronunciate."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Le belle novelle e i belli fiori, come quando si conviene, sono un'eccellente forma di espressione."
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro al suo albergo, quasi come se si fosse pensando alla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","La mia mente è come un porto, e la mia corpo è come un porto di mare."
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,E' stata levata a volo dietro all'aquila tutta questa turba degli uccelli.
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Vede anche le ragioni del viaggio degli uccelli e di tutte le cose che possono renderlo vero.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,Or ecco quanto per la sua superbia questo uccello volava in alto.
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone, ho questa proprietà che vola per l'aria come un uccello."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","quando nella matricola si scrivono giurano per Dio, Cristo e Spirito Santo."
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","Per necessità, i righi ke, secondo il comando tuo, padre santo Agostino, le battaglie già state nel mondo [...]."
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Molte persone di maggiore memoria saranno facendole al re, quindi nella nostra città sempre sarà santo e glorioso il nome reale, e se furono compagni erano il loro nome santissimo."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio, che superi lo scopo, e voto della verginità vedendo le sue laudi."
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Santo Agostino fece un libro con il nome ""Agostino della Città di Dio""."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non hai mai avuto un maestro; ma il dono dello Spirito Santo non può essere stringato a legge.
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Verbografia: Mercatanti fiorentini passavano in nave per andare fuori.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai nel cavaliere i dettagli visibili non andranno a grandezza caendo, perché nelle battaglie sono più utili i difensori che i grandi."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","E, cosa che è anche più grave, cioè essere preso o fuggire, e il suo Comune lasciare perdere."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Se non ci fossimo qui, avremmo tutti perso."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Il tarco cretense che in aiuto era alle nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare i nobilissimi cavalieri della gente achea poco avanti da lui."
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","E l'accresciuto a fare grandissime cose, cioè a tenere pace e amare l'idio e il prossimo, a fare citati, castelle e magioni."
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,Colui che ancora non sa amare il prossimo come se stesse già temendo i giudici di Dio.
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'ucello, poi che ha impaniato le ali, non fugge salvamente, né lo porco salvatico esce bene delle reti ove cade."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io apri myself, e quelli che fuggono. E che bisogno è, che il cuore tuo sia chiuso al tuo Signore Cristo?"
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","Catellina, e tu non puoi dimorare qui, dubiti di andartene in alcuna terra e usa questa vita fuggendo per li diserti."
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Queste due persone, volendo contro la volontà del senato dimorare nell'ufficio del tribunato, furono morte dalla plebe, incitandola i padri coscritti."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","I giovani che si sono compusi di difendere le province, e che si sono tenuti alla carica di tutta la battaglia, si sono compusi di difendere le province."
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","In questo contesto, il potere era concentrato sul MMD, che era il principale strumento di controllo e di pressione."
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","I nostri iscaciati e dipartiamo per debito della cittade, e tutti i nostri iscaciati da fama e da ventura buona."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"Presta agli altri ciò che hai, e i vostri preghieri sono valenti quanto un milione. Se voi domandate chi ha avuto la ventura di questa battaglia, io non sono stato sconfitto da nessuno."
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","Una villa chiamata Vitermina, con ciò che era cosa che più principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa."
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"contro loro e contro le loro sorelle, contro il reame e contro l'alto pregio della loro ingenerazione e della loro famiglia."
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","In quel momento, l'aria era nuvolevole e pioveva."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Non salì in sul bordo dell'argine del fosso, e in sul bordo dello steccato, se da alto si potessero difendersi, o per qualsiasi maniera passar oltre e scappare."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","L'occhio della intelligenza è più alto. Pertanto, passata la grandezza della università, quella medesima semplice forma vede nella sottil vista."
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","L'occhio è un membro nobile del corpo dell'uomo, quindi la salute è una parte nobile della pistola, e l'algoritmo illuminano tutta la lettera come l'occhio illuminano l'uomo."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","Tarentini, i quali erano nati da quelli di Lacedemonia e fatti da un uomo nobile citato da Greci."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","Un uomo di grandi dimensioni e bellezza, il cui nome era Orgentore, fu chiamato per il suo valore."
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Però che, se il nobile cosa e alta è abbatto il nimico, ampoi nonn è meno laudabile sapere avere misiricordia."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, questo è il genere e il figlioletto, da Phausonia, gentile uomo di Macedonia, era stato assassinato."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","L'alchimista era ricco e gentile, ma lamentò che preferisse avere una altra moglie di quella che gli era stata."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, mostrato in figura il populo Gentile, mangia."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Pregollo che lo liberasse di quella obbligazione, in cui egli l'aveva lasciato ubbligato. L'uomo gentile assentò, e lo liberò, e fece una carta."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dall'Aquilone. Se figuremo noi per l'Aquilone, se non il populo Gentile è congelato dal freddo del peccato, il quale populo tenne sotto il giogo della sua tirannia."
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","""Se si trova in mezzo tra noi, non possiamo più essere insieme, e non possiamo più essere insieme per tanto tempo quanto non lo faremo."""
